id,units_id,areas_id,tinsts_id,qty,created_at,updated_at
73,0,13,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
74,0,13,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
75,0,13,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
76,0,13,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
77,0,13,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
78,0,13,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
79,0,14,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
80,0,14,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
81,0,14,2,2,"2021-03-24 12:35:19","2021-03-24 12:35:19"
82,0,14,3,3,"2021-03-24 12:35:19","2021-03-24 12:35:19"
83,0,14,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
84,0,14,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
85,0,16,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
86,0,16,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
87,0,16,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
88,0,16,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
89,0,16,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
90,0,16,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
91,0,17,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
92,0,17,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
93,0,17,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
94,0,17,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
95,0,17,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
96,0,17,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
97,0,18,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
98,0,18,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
99,0,18,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
100,0,18,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
101,0,18,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
102,0,18,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
103,0,19,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
104,0,19,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
105,0,19,2,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
106,0,19,3,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
107,0,19,4,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
108,0,19,5,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
109,0,20,0,5,"2021-03-24 12:35:19","2021-03-24 12:35:19"
110,0,20,1,0,"2021-03-24 12:35:19","2021-03-24 12:35:19"
